dataset_id,data_volume,requests,group_title,data_source,dataset_title,var,sensor
erdVHpicmday,14,514,NASA Ocean Color,NASA,"PIC, NASA VIIRS SNPP",pic,viirs-snpp
erdVHpoc1day,12,414,NASA Ocean Color,NASA,"POC, NASA VIIRS SNPP",poc,viirs-snpp
erdVHpoc8day,11,372,NASA Ocean Color,NASA,"POC, NASA VIIRS SNPP",poc,viirs-snpp
erdVHpocmday,13,434,NASA Ocean Color,NASA,"POC, NASA VIIRS SNPP",poc,viirs-snpp
erdVHr6711day,12,398,NASA Ocean Color,NASA,"Rrs, NASA, VIIRS SNPP",rrs,viirs-snpp
erdVHr6718day,11,382,NASA Ocean Color,NASA,"Rrs, NASA, VIIRS SNPP",rrs,viirs-snpp
erdVHr671mday,12,416,NASA Ocean Color,NASA,"Rrs, NASA, VIIRS SNPP",rrs,viirs-snpp
iprcAquariusOISSS7day,6,446,NASA Salinity,NASA,Salinity Aquarius,saltinity,Aquarius
jplAquariusSSS3MonthV5,23,4438,NASA Salinity,NASA,Salinity Aquarius,saltinity,Aquarius
jplAquariusSSS7DayV5,30,4380,NASA Salinity,NASA,Salinity Aquarius,saltinity,Aquarius
jplAquariusSSSDailyV5,104,5022,NASA Salinity,NASA,Salinity Aquarius,saltinity,Aquarius
jplAquariusSSSMonthlyV5,290,10364,NASA Salinity,NASA,Salinity Aquarius,saltinity,Aquarius
erdMWcdom14day,6,464,NASA Ocean Color,NASA,"CDOM, NASA MODIS Aqua",cdom,modis
erdMWcdom3day,8,532,NASA Ocean Color,NASA,"CDOM, NASA MODIS Aqua",cdom,modis
erdMWcdom8day,8,534,NASA Ocean Color,NASA,"CDOM, NASA MODIS Aqua",cdom,modis
erdMWcdommday,6,488,NASA Ocean Color,NASA,"CDOM, NASA MODIS Aqua",cdom,modis
erdMWcflh14day,14,1142,NASA Ocean Color,NASA,"Chlorophyll fluorescence, NASA MODIS Aqua",chl_fluor,modis
erdMWcflh1day,16,1168,NASA Ocean Color,NASA,"Chlorophyll fluorescence, NASA MODIS Aqua",chl_fluor,modis
erdMWcflh3day,13,1050,NASA Ocean Color,NASA,"Chlorophyll fluorescence, NASA MODIS Aqua",chl_fluor,modis
erdMWcflh8day,3561,2288,NASA Ocean Color,NASA,"Chlorophyll fluorescence, NASA MODIS Aqua",chl_fluor,modis
erdMWcflhmday,9,712,NASA Ocean Color,NASA,"Chlorophyll fluorescence, NASA MODIS Aqua",chl_fluor,modis
erdMWchla14day,120,1374,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
erdMWchla1day,6490,8368,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
